Analytics overview
2026-06-25 - 2026-07-25
Content types,All
Devices,All
Source,All
Publish Types,
Age,All
Gender,All
Format,All
Curated content,Not included

Date,Impressions
2026-06-25,1788
2026-06-26,1712
2026-06-27,871
2026-06-28,858
2026-06-29,2193
2026-06-30,2432
2026-07-01,2248
2026-07-02,1747
2026-07-03,1638
2026-07-04,944
2026-07-05,808
2026-07-06,1772
2026-07-07,1912
2026-07-08,2078
2026-07-09,2063
2026-07-10,2062
2026-07-11,1302
2026-07-12,2462
2026-07-13,2259
2026-07-14,2380
2026-07-15,1847
2026-07-16,2994
2026-07-17,2359
2026-07-18,3365
2026-07-19,1633
2026-07-20,2700
2026-07-21,3058
2026-07-22,2774
2026-07-23,3100
2026-07-24,2794
2026-07-25,2205
Data starting from 2026-07-24 is an estimate that gets adjusted as it's verified over time.

Top Boards 2026-06-25 - 2026-07-25
Pinterest Link,Impressions,Engagement,Pin clicks,Outbound clicks,Saves
https://www.pinterest.com/Baddiesbeauty43/korean-sunscreens-that-leave-zero-white-cast/,20021,636,598,9,43
https://www.pinterest.com/Baddiesbeauty43/k-beauty-serums-that-actually-work/,6805,183,178,3,13
https://www.pinterest.com/Baddiesbeauty43/body-wash-shower-gels-usa-2026/,5561,137,126,1,11
https://www.pinterest.com/Baddiesbeauty43/korean-glass-skin-cleansers-usa-2026/,3240,182,175,1,8
https://www.pinterest.com/Baddiesbeauty43/k-beauty-moisture-secrets/,2943,144,136,1,8
https://www.pinterest.com/Baddiesbeauty43/k-beauty-eye-care-routine-2026/,2550,149,143,2,4
https://www.pinterest.com/Baddiesbeauty43/hair-care-growth-2026/,1804,69,63,0,6
https://www.pinterest.com/Baddiesbeauty43/best-korean-toners-for-glowing-skin/,1520,74,72,0,2
https://www.pinterest.com/Baddiesbeauty43/k-beauty-under-20-budget-picks/,1256,41,39,0,2
https://www.pinterest.com/Baddiesbeauty43/makeup-favorites/,1057,111,105,6,0
https://www.pinterest.com/Baddiesbeauty43/hair-care-essentials/,974,88,78,10,0
https://www.pinterest.com/Baddiesbeauty43/skincare-routine-2026/,892,37,34,2,3
https://www.pinterest.com/Baddiesbeauty43/amazon-beauty-finds-under-20/,845,78,74,4,0
https://www.pinterest.com/Baddiesbeauty43/k-beauty/,843,101,98,3,0
https://www.pinterest.com/Baddiesbeauty43/amazon-beauty-finds/,754,79,58,22,0
https://www.pinterest.com/Baddiesbeauty43/body-care/,687,60,58,2,0
https://www.pinterest.com/Baddiesbeauty43/body-care-self-care-routine/,679,45,45,1,1
https://www.pinterest.com/Baddiesbeauty43/hair-care-essentials-2/,499,45,44,1,0
https://www.pinterest.com/Baddiesbeauty43/k-beauty-2/,494,45,41,4,0
https://www.pinterest.com/Baddiesbeauty43/affordable-skincare-finds-2026/,464,48,32,14,2
https://www.pinterest.com/Baddiesbeauty43/hair-tools-styling/,349,39,37,2,0
https://www.pinterest.com/Baddiesbeauty43/womens-fragrances/,336,34,33,1,0
https://www.pinterest.com/Baddiesbeauty43/sensitive-skin-essentials/,318,22,21,1,0
https://www.pinterest.com/Baddiesbeauty43/luxury-beauty/,284,37,33,3,1
https://www.pinterest.com/Baddiesbeauty43/eye-care-makeup/,280,23,21,1,1
https://www.pinterest.com/Baddiesbeauty43/makeup-favorites-2/,277,24,24,0,0
https://www.pinterest.com/Baddiesbeauty43/body-scrubs/,272,13,10,0,3
https://www.pinterest.com/Baddiesbeauty43/eyelash-brow-essentials/,268,26,26,0,0
https://www.pinterest.com/Baddiesbeauty43/must-have-makeup-products/,265,28,26,1,1
https://www.pinterest.com/Baddiesbeauty43/beauty-tools/,255,24,22,2,0
https://www.pinterest.com/Baddiesbeauty43/lip-care-tint/,242,16,15,1,0
https://www.pinterest.com/Baddiesbeauty43/face-wash/,234,21,20,1,0
https://www.pinterest.com/Baddiesbeauty43/k-beauty-must-haves/,227,2,2,0,0
https://www.pinterest.com/Baddiesbeauty43/spf-sunscreen-favorites/,217,21,21,0,0
https://www.pinterest.com/Baddiesbeauty43/self-care-products/,212,22,21,1,0
https://www.pinterest.com/Baddiesbeauty43/lip-care/,202,26,23,3,0
https://www.pinterest.com/Baddiesbeauty43/nail-care-nail-art-finds/,198,20,18,2,0
https://www.pinterest.com/Baddiesbeauty43/body-wash-favorites/,194,23,22,1,0
https://www.pinterest.com/Baddiesbeauty43/viral-skincare-routine-2026/,178,22,21,1,0
https://www.pinterest.com/Baddiesbeauty43/moisturizers-spf/,174,15,14,1,0
https://www.pinterest.com/Baddiesbeauty43/k-beauty-secrets/,170,21,20,1,0
https://www.pinterest.com/Baddiesbeauty43/lip-products-obsession/,165,3,2,0,1
https://www.pinterest.com/Baddiesbeauty43/anti-aging-products/,131,18,17,1,0
https://www.pinterest.com/Baddiesbeauty43/hair-care-essentials-3/,125,16,16,0,0
https://www.pinterest.com/Baddiesbeauty43/luxury-fragrances-mists/,122,10,10,0,0
https://www.pinterest.com/Baddiesbeauty43/lip-care-masks-plumpers-tints-balms/,115,1,1,0,0
https://www.pinterest.com/Baddiesbeauty43/face-wash-cleansers/,92,11,9,0,2
https://www.pinterest.com/Baddiesbeauty43/aesthetic-outfits-fashion/,89,14,13,1,0
https://www.pinterest.com/Baddiesbeauty43/body-care-2/,77,9,9,0,0
https://www.pinterest.com/Baddiesbeauty43/perfumes-fragrances/,73,7,7,0,0
https://www.pinterest.com/Baddiesbeauty43/body-care-essentials/,71,7,6,1,0
https://www.pinterest.com/Baddiesbeauty43/clean-girl-aesthetic-makeup/,68,4,4,0,0
https://www.pinterest.com/Baddiesbeauty43/viral-lip-oils-tints/,64,8,8,0,0
https://www.pinterest.com/Baddiesbeauty43/teeth-whitening-products/,60,9,9,0,0
https://www.pinterest.com/Baddiesbeauty43/face-serums-treatments/,60,7,6,1,0
https://www.pinterest.com/Baddiesbeauty43/face-serums/,58,1,1,0,0
https://www.pinterest.com/Baddiesbeauty43/glow-serums-glass-skin/,49,5,5,0,0
https://www.pinterest.com/Baddiesbeauty43/anti-frizz-bond-repair-hair-care/,45,6,6,0,0
https://www.pinterest.com/Baddiesbeauty43/massage-beauty-devices/,44,7,6,1,0
https://www.pinterest.com/Baddiesbeauty43/dewy-moisturizers-daily-spf/,43,7,7,0,0
https://www.pinterest.com/Baddiesbeauty43/luxury-home-fragrance/,4,0,0,0,0
https://www.pinterest.com/Baddiesbeauty43/nail-care-art/,3,0,0,0,0
https://www.pinterest.com/Baddiesbeauty43/nail-art-nails-2026/,2,0,0,0,0
https://www.pinterest.com/Baddiesbeauty43/_quick_creates/,2,0,0,0,0
"Top boards table is restricted to data from the last 6 months. This includes estimated data from 2026-07-24, which gets adjusted as it's verified over time."

Top Pins 2026-06-25 - 2026-07-25
Pinterest Link,Content Type,Source,Canonical,Impressions
https://www.pinterest.com/pin/1118229782511570393/,Organic,From you,No,13012
https://www.pinterest.com/pin/1118229782511535400/,Organic,From you,No,3642
https://www.pinterest.com/pin/1118229782511570144/,Organic,From you,No,3594
https://www.pinterest.com/pin/1118229782511570689/,Organic,From you,No,3074
https://www.pinterest.com/pin/1118229782514146965/,Organic,From you,No,1835
https://www.pinterest.com/pin/1118229782511782838/,Organic,From you,No,1243
https://www.pinterest.com/pin/1118229782514206938/,Organic,From you,No,1166
https://www.pinterest.com/pin/1118229782511704381/,Organic,From you,No,961
https://www.pinterest.com/pin/1118229782511702425/,Organic,From you,No,880
https://www.pinterest.com/pin/1118229782510939854/,Organic,From you,No,758
https://www.pinterest.com/pin/1118229782511346447/,Organic,From you,No,758
