Audience View,Date,Aggregation,Audience Size
Your total audience,2026-07-23,Monthly,31000

Interests
Category,Bulk Sheet Category,Percent of audience,Affinity,Interest,Bulk Sheet Interests,Percent of audience,Affinity
Art,"{'name': 'Art', 'id': '961238559656'}",0.711,1.085,Drawing,"{'name': 'Drawing', 'id': '918644201389'}",0.828,1.13
Art,"{'name': 'Art', 'id': '961238559656'}",0.711,1.085,Photography,"{'name': 'Photography', 'id': '905860166503'}",0.826,1.097
Art,"{'name': 'Art', 'id': '961238559656'}",0.711,1.085,Painting,"{'name': 'Painting', 'id': '938071044570'}",0.767,1.191
Art,"{'name': 'Art', 'id': '961238559656'}",0.711,1.085,Street Art,"{'name': 'Street Art', 'id': '946028385883'}",0.669,1.39
Art,"{'name': 'Art', 'id': '961238559656'}",0.711,1.085,Illustration,"{'name': 'Illustration', 'id': '907002707958'}",0.402,1.124
Art,"{'name': 'Art', 'id': '961238559656'}",0.711,1.085,Body Art,"{'name': 'Body Art', 'id': '909337506117'}",0.291,0.751
Art,"{'name': 'Art', 'id': '961238559656'}",0.711,1.085,Art Tutorial,"{'name': 'Art Tutorial', 'id': '908625431820'}",0.285,0.846
Art,"{'name': 'Art', 'id': '961238559656'}",0.711,1.085,Art Supplies,"{'name': 'Art Supplies', 'id': '916574447637'}",0.282,0.916
Art,"{'name': 'Art', 'id': '961238559656'}",0.711,1.085,Digital Art,"{'name': 'Digital Art', 'id': '954299039771'}",0.26,1.409
Art,"{'name': 'Art', 'id': '961238559656'}",0.711,1.085,Fonts and Calligraphy,"{'name': 'Fonts and Calligraphy', 'id': '933547141847'}",0.234,3.911
Art,"{'name': 'Art', 'id': '961238559656'}",0.711,1.085,Poster Design,"{'name': 'Poster Design', 'id': '947703397050'}",0.162,3.2
Art,"{'name': 'Art', 'id': '961238559656'}",0.711,1.085,Fashion Design,"{'name': 'Fashion Design', 'id': '958595335486'}",0.135,0.948
Art,"{'name': 'Art', 'id': '961238559656'}",0.711,1.085,Ceramic Art,"{'name': 'Ceramic Art', 'id': '956459048577'}",0.044,1.167
Art,"{'name': 'Art', 'id': '961238559656'}",0.711,1.085,Mixed Media Art,"{'name': 'Mixed Media Art', 'id': '914370454096'}",0.042,0.783
Art,"{'name': 'Art', 'id': '961238559656'}",0.711,1.085,Glass Art,"{'name': 'Glass Art', 'id': '953386407299'}",0.015,
Art,"{'name': 'Art', 'id': '961238559656'}",0.711,1.085,Contemporary Art,"{'name': 'Contemporary Art', 'id': '954939770857'}",0.014,0.721
Art,"{'name': 'Art', 'id': '961238559656'}",0.711,1.085,Metal Art,"{'name': 'Metal Art', 'id': '919147346069'}",0.01,0.366
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.7,1.099,Wall,"{'name': 'Wall', 'id': '897028410084'}",0.952,1.079
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.7,1.099,Room Decor,"{'name': 'Room Decor', 'id': '916836567854'}",0.826,1.175
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.7,1.099,Home Decor Style,"{'name': 'Home Decor Style', 'id': '932406387708'}",0.642,1.257
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.7,1.099,Lighting,"{'name': 'Lighting', 'id': '898155178413'}",0.627,1.662
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.7,1.099,Storage and Organization,"{'name': 'Storage and Organization', 'id': '896864884493'}",0.46,1.25
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.7,1.099,Home Accessories,"{'name': 'Home Accessories', 'id': '946284018351'}",0.426,1.146
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.7,1.099,Furniture,"{'name': 'Furniture', 'id': '936760250909'}",0.397,1.229
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.7,1.099,Flooring,"{'name': 'Flooring', 'id': '951285123313'}",0.347,1.289
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.7,1.099,Home Maintenance,"{'name': 'Home Maintenance', 'id': '951174617998'}",0.147,0.708
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.7,1.099,Door,"{'name': 'Door', 'id': '936029585073'}",0.043,0.503
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.7,1.099,Exterior,"{'name': 'Exterior', 'id': '929735873274'}",0.024,0.347
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.7,1.099,Remodel,"{'name': 'Remodel', 'id': '953913251789'}",0.012,0.307
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.7,1.099,Home Painting,"{'name': 'Home Painting', 'id': '952051896726'}",0.012,
Entertainment,"{'name': 'Entertainment', 'id': '953061268473'}",0.695,1.098,Movie,"{'name': 'Movie', 'id': '960342948658'}",0.88,1.165
Entertainment,"{'name': 'Entertainment', 'id': '953061268473'}",0.695,1.098,Comics,"{'name': 'Comics', 'id': '930494031304'}",0.787,1.057
Entertainment,"{'name': 'Entertainment', 'id': '953061268473'}",0.695,1.098,Humor,"{'name': 'Humor', 'id': '898037969690'}",0.726,0.937
Entertainment,"{'name': 'Entertainment', 'id': '953061268473'}",0.695,1.098,Celebrities,"{'name': 'Celebrities', 'id': '911373384406'}",0.453,1.062
Entertainment,"{'name': 'Entertainment', 'id': '953061268473'}",0.695,1.098,Music,"{'name': 'Music', 'id': '936111947007'}",0.448,0.927
Entertainment,"{'name': 'Entertainment', 'id': '953061268473'}",0.695,1.098,Gaming,"{'name': 'Gaming', 'id': '919269892222'}",0.397,0.926
Entertainment,"{'name': 'Entertainment', 'id': '953061268473'}",0.695,1.098,TV Show,"{'name': 'TV Show', 'id': '908565964114'}",0.127,0.715
Entertainment,"{'name': 'Entertainment', 'id': '953061268473'}",0.695,1.098,Book,"{'name': 'Book', 'id': '908410600882'}",0.113,0.662
Entertainment,"{'name': 'Entertainment', 'id': '953061268473'}",0.695,1.098,Theater,"{'name': 'Theater', 'id': '905051048835'}",0.026,1.45
Design,"{'name': 'Design', 'id': '902065567321'}",0.693,1.2,Web and App Design,"{'name': 'Web and App Design', 'id': '939992763802'}",0.875,1.319
Design,"{'name': 'Design', 'id': '902065567321'}",0.693,1.2,Logo and Identity Design,"{'name': 'Logo and Identity Design', 'id': '909466174311'}",0.624,1.76
